variable_name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
female_black_lths_b,,,,,,,,,,,,,,,,B15002B_012
female_black_hs,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,B15002B_013
female_black_somecoll,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,
female_black_somecoll_a,,,,,,,,,,,,,,,,B15002B_014
female_black_somecoll_b,,,,,,,,,,,,,,,,B15002B_015
female_black_collplus,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,
female_black_collplus_a,,,,,,,,,,,,,,,,B15002B_016
female_black_collplus_b,,,,,,,,,,,,,,,,B15002B_017
male_aian_lths,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,C15002C_003,
male_aian_lths_a,,,,,,,,,,,,,,,,B15002C_003
male_aian_lths_b,,,,,,,,,,,,,,,,B15002C_004
male_aian_hs,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,C15002C_004,B15002C_005
male_aian_somecoll,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,C15002C_005,
male_aian_somecoll_a,,,,,,,,,,,,,,,,B15002C_006
male_aian_somecoll_b,,,,,,,,,,,,,,,,B15002C_007
male_aian_collplus,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,C15002C_006,
male_aian_collplus_a,,,,,,,,,,,,,,,,B15002C_008
male_aian_collplus_b,,,,,,,,,,,,,,,,B15002C_009
female_aian_lths,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,C15002C_008,
female_aian_lths_a,,,,,,,,,,,,,,,,B15002C_011
female_aian_lths_b,,,,,,,,,,,,,,,,B15002C_012
female_aian_hs,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,C15002C_009,B15002C_013
female_aian_somecoll,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,C15002C_010,
female_aian_somecoll_a,,,,,,,,,,,,,,,,B15002C_014
female_aian_somecoll_b,,,,,,,,,,,,,,,,B15002C_015
female_aian_collplus,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,C15002C_011,
female_aian_collplus_a,,,,,,,,,,,,,,,,B15002C_016
female_aian_collplus_b,,,,,,,,,,,,,,,,B15002C_017
male_asian_lths,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,C15002D_003,
male_asian_lths_a,,,,,,,,,,,,,,,,B15002D_003
male_asian_lths_b,,,,,,,,,,,,,,,,B15002D_004
male_asian_hs,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,C15002D_004,B15002D_005
male_asian_somecoll,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,C15002D_005,
male_asian_somecoll_a,,,,,,,,,,,,,,,,B15002D_006
male_asian_somecoll_b,,,,,,,,,,,,,,,,B15002D_007
male_asian_collplus,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,C15002D_006,
male_asian_collplus_a,,,,,,,,,,,,,,,,B15002D_008
male_asian_collplus_b,,,,,,,,,,,,,,,,B15002D_009
female_asian_lths,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,C15002D_008,
female_asian_lths_a,,,,,,,,,,,,,,,,B15002D_011
female_asian_lths_b,,,,,,,,,,,,,,,,B15002D_012
female_asian_hs,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,C15002D_009,B15002D_013
female_asian_somecoll,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,C15002D_010,
female_asian_somecoll_a,,,,,,,,,,,,,,,,B15002D_014
female_asian_somecoll_b,,,,,,,,,,,,,,,,B15002D_015
female_asian_collplus,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,C15002D_011,
female_asian_collplus_a,,,,,,,,,,,,,,,,B15002D_016
female_asian_collplus_b,,,,,,,,,,,,,,,,B15002D_017
male_nhopi_lths,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,C15002E_003,
male_nhopi_lths_a,,,,,,,,,,,,,,,,B15002E_003
male_nhopi_lths_b,,,,,,,,,,,,,,,,B15002E_004
male_nhopi_hs,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,C15002E_004,B15002E_005
male_nhopi_somecoll,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,C15002E_005,
male_nhopi_somecoll_a,,,,,,,,,,,,,,,,B15002E_006
male_nhopi_somecoll_b,,,,,,,,,,,,,,,,B15002E_007
male_nhopi_collplus,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,C15002E_006,
male_nhopi_collplus_a,,,,,,,,,,,,,,,,B15002E_008
male_nhopi_collplus_b,,,,,,,,,,,,,,,,B15002E_009
female_nhopi_lths,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,C15002E_008,
female_nhopi_lths_a,,,,,,,,,,,,,,,,B15002E_011
female_nhopi_lths_b,,,,,,,,,,,,,,,,B15002E_012
female_nhopi_hs,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,C15002E_009,B15002E_013
female_nhopi_somecoll,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,C15002E_010,
female_nhopi_somecoll_a,,,,,,,,,,,,,,,,B15002E_014
female_nhopi_somecoll_b,,,,,,,,,,,,,,,,B15002E_015
female_nhopi_collplus,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,C15002E_011,
female_nhopi_collplus_a,,,,,,,,,,,,,,,,B15002E_016
female_nhopi_collplus_b,,,,,,,,,,,,,,,,B15002E_017
male_other_lths,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,C15002F_003,
male_other_lths_a,,,,,,,,,,,,,,,,B15002F_003
male_other_lths_b,,,,,,,,,,,,,,,,B15002F_004
male_other_hs,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,C15002F_004,B15002F_005
